AS ID,Country,Description
114,US,"NTTA-114 - NTT America, Inc.,US"
115,US,"DNIC-AS-00115 - DoD Network Information Center,US"
116,US,"TELCORDIA - Telcordia Technologies,US"
117,US,"ALBM-NET-AS - Lockheed Austin Division,US"
118,US,"DNIC-AS-00118 - DoD Network Information Center,US"
119,US,"AMS-AS - American Mathematical Society,US"
120,US,"MITRE-OMAHA - The MITRE Corporation,US"
121,US,"DNIC-AS-00121 - DoD Network Information Center,US"
122,US,"U-PGH-NET-AS - UPMC,US"
123,US,"LOGAIRCOMNET-AS - 754th Electronic Systems Group,US"
124,US,"DNIC-AS-00124 - DoD Network Information Center,US"
125,US,"HI-NET-AS - Honeywell International, Inc.,US"
126,US,"DNIC-AS-00126 - DoD Network Information Center,US"
127,US,"JPL-AS127 - Jet Propulsion Laboratory,US"
128,US,"ADS-AS - Advanced Decision Systems,US"
129,US,"DNIC-AS-00129 - DoD Network Information Center,US"
130,US,"CSOCNET-AS - Space Communications Division,US"
131,US,"UCSB-NET-AS - University of California, Santa Barbara,US"
132,US,"WPAFB-CSD-NET-AS - 754th Electronic Systems Group,US"
133,US,"AFIT-AS - 754th Electronic Systems Group,US"
134,US,"CORONA-GW-AS - Fleet Analysis Center,US"
135,US,"DNIC-AS-00135 - DoD Network Information Center,US"
136,US,"AF-ASN-136 - 754th Electronic Systems Group,US"
137,IT,"ASGARR Consortium GARR,IT"
138,US,"DNIC-AS-00138 - DoD Network Information Center,US"
139,US,"DNIC-AS-00139 - Navy Network Information Center (NNIC),US"
140,US,"DNIC-AS-00140 - DoD Network Information Center,US"
141,US,"DNIC-AS-00141 - Navy Network Information Center (NNIC),US"
142,US,"DNIC-AS-00142 - Headquarters, USAISC,US"
143,US,"OOG1-AS - 1881CS/XPC,US"
144,US,"ATT-INTERNET - Lucent Technologies/Bell Laboratories,US"
145,US,"VBNS - MCI Communications Corporation,US"
146,US,"HQEIS-AS - 754th Electronic Systems Group,US"
147,US,"DNIC-AS-00147 - DoD Network Information Center,US"
148,US,"DNIC-AS-00148 - Navy Network Information Center (NNIC),US"
149,US,"DNIC-AS-00149 - DoD Network Information Center,US"
150,US,"DNIC-AS-00150 - DoD Network Information Center,US"
151,US,"IND-NTC-AS - Hewlett-Packard Company,US"
152,US,"SRI-ACCATT-AS - SRI International,US"
153,US,"CTNOSC-ASN-153 - Headquarters, USAISC,US"
154,US,"DNIC-AS-00154 - Headquarters, USAISC,US"
155,US,"DNIC-AS-00155 - DoD Network Information Center,US"
156,US,"NORTHEASTERN-GW-AS - Northeastern University,US"
157,US,"INTELLIAUTON - Silicon Graphics International Corp.,US"
158,US,"ERI-AS - Ericsson Network Systems, Inc.,US"
159,US,"OSUNET-AS - The Ohio State University,US"
160,US,"U-CHICAGO-AS - University of Chicago,US"
161,US,"TI-AS - Texas Instruments, Inc.,US"
162,US,"DNIC-AS-00162 - Navy Network Information Center (NNIC),US"
163,US,"IBM-RESEARCH-AS - International Business Machines Corporation,US"
164,US,"DNIC-AS-00164 - DoD Network Information Center,US"
165,US,"DNIC-AS-00165 - DoD Network Information Center,US"
166,US,"IDA-AS - Institute for Defense Analyses,US"
167,US,"WESLEYAN-AS - Wesleyan University,US"
168,US,"UMASS-AMHERST - University of Massachusetts,US"
